,region,site,date,depth_m,transect,colony_id,coral_species,col_size,l_cm,w_cm,percent_live,percent_col_inside,n_scars,percent_new,scar_min_mm2,scar_max_mm2,scar_med_mm2
89,Panamá,Finca,2013-07-11,5,2,89,Branching Porites spp.,80+,107,50,100,100,31,0,NA,NA,NA
90,Panamá,Finca,2013-07-11,5,2,90,Branching Porites spp.,80+,170,97,80,100,85,0,NA,NA,NA
91,Panamá,Finca,2013-07-11,5,2,91,Branching Porites spp.,80+,170,50,100,100,60,5,18.85,28.274,27.489
92,Panamá,Finca,2013-07-11,5,2,92,Branching Porites spp.,80+,136,42,100,100,52,4,7.069,32.987,12.566
93,Panamá,Finca,2013-07-11,5,2,93,Branching Porites spp.,40 to 80,55,22,75,100,15,0,NA,NA,NA
94,Panamá,Finca,2013-07-11,5,2,94,Helioseris cucullata,5 to 10,7,4,100,100,1,0,NA,NA,NA
95,Panamá,Finca,2013-07-11,5,2,95,Branching Porites spp.,10 to 20,15,8,80,100,3,0,NA,NA,NA
96,Panamá,Finca,2013-07-11,5,2,96,Branching Porites spp.,80+,84,43,90,100,12,16,12.566,518.363,15.708
97,Panamá,Finca,2013-07-11,5,2,97,Branching Porites spp.,80+,136,93,80,100,14,21,7.069,23.562,15.708
98,Panamá,Finca,2013-07-11,5,2,98,Branching Porites spp.,80+,92,64,100,100,19,0,NA,NA,NA
99,Panamá,Finca,2013-07-11,5,2,99,Branching Porites spp.,40 to 80,70,70,100,100,9,11,9.425,23.562,21.206
100,Panamá,Finca,2013-07-11,5,2,100,Branching Porites spp.,80+,200,100,75,100,39,0,NA,NA,NA
101,Panamá,Finca,2013-07-11,5,2,101,Branching Porites spp.,40 to 80,64,40,80,100,20,0,NA,NA,NA
102,Panamá,Finca,2013-07-11,5,2,102,Branching Porites spp.,5 to 10,9,8,100,100,5,0,NA,NA,NA
103,Panamá,Finca,2013-07-11,5,2,103,Branching Porites spp.,40 to 80,40,30,100,100,20,15,9.425,18.85,15.708
104,Panamá,Finca,2013-07-11,5,2,104,Branching Porites spp.,10 to 20,17,16,100,100,7,0,NA,NA,NA
105,Panamá,Finca,2013-07-11,5,2,105,Branching Porites spp.,20 to 40,30,27,100,100,16,0,NA,NA,NA
106,Panamá,Finca,2013-07-11,5,2,106,Branching Porites spp.,20 to 40,25,12,100,100,6,15,7.069,19.635,9.425
107,Panamá,Finca,2013-07-11,5,2,107,Branching Porites spp.,40 to 80,66,64,90,100,28,0,NA,NA,NA
108,Panamá,Finca,2013-07-11,5,2,108,Branching Porites spp.,80+,121,85,85,100,78,0,NA,NA,NA
109,Panamá,Finca,2013-07-11,5,2,109,Branching Porites spp.,40 to 80,66,38,90,100,32,3,27.489,56.549,28.274
110,Panamá,Finca,2013-07-11,5,2,110,Branching Porites spp.,20 to 40,24,12,100,100,13,0,NA,NA,NA
111,Panamá,Punta STRI,2013-07-11,10,1,111,Siderastrea siderea,10 to 20,14,9,75,100,8,0,NA,NA,NA
112,Panamá,Punta STRI,2013-07-11,10,1,112,Siderastrea siderea,20 to 40,34,34,100,100,15,0,NA,NA,NA
113,Panamá,Punta STRI,2013-07-11,10,1,113,Siderastrea siderea,10 to 20,17,17,10,100,0,0,NA,NA,NA
114,Panamá,Punta STRI,2013-07-11,10,1,114,Stephanocoenia intersepta,5 to 10,9,8,100,100,2,50,56.549,78.54,NA
115,Panamá,Punta STRI,2013-07-11,5,2,115,Agaricia tenuifolia,40 to 80,77,35,100,100,3,100,30.631,58.905,47.124
116,Panamá,Punta STRI,2013-07-11,5,2,116,Agaricia tenuifolia,10 to 20,14,9,100,100,3,100,15.708,21.206,17.279
117,Panamá,Punta STRI,2013-07-11,5,2,117,Agaricia tenuifolia,20 to 40,25,19,100,100,4,50,31.416,78.54,69.115
118,Panamá,Punta STRI,2013-07-11,5,2,118,Agaricia tenuifolia,80+,250,100,100,100,1,100,NA,NA,94.248
119,Panamá,Punta STRI,2013-07-11,5,2,119,Agaricia tenuifolia,40 to 80,43,33,100,100,4,100,12.566,49.48,42.412
120,Panamá,Punta STRI,2013-07-11,5,2,120,Agaricia tenuifolia,80+,118,84,100,100,19,15,7.069,40.841,7.069
121,Panamá,Punta STRI,2013-07-11,5,2,121,Agaricia tenuifolia,20 to 40,33,17,75,100,3,67,10.996,65.973,58.905
122,Panamá,Cayo Roldan,2013-08-19,10,1,122,Agaricia tenuifolia,5 to 10,9,8,100,100,0,0,NA,NA,NA
123,Panamá,Cayo Roldan,2013-08-19,10,1,123,Siderastrea siderea,10 to 20,18,12,70,100,0,0,NA,NA,NA
124,Panamá,Cayo Roldan,2013-08-19,10,1,124,Siderastrea siderea,5 to 10,6,4,100,100,0,0,NA,NA,NA
125,Panamá,Cayo Roldan,2013-08-19,10,1,125,Siderastrea siderea,20 to 40,24,9,100,100,0,0,NA,NA,NA
126,Panamá,Cayo Roldan,2013-08-19,10,1,126,Siderastrea siderea,20 to 40,29,26,70,100,26,0,NA,NA,NA
127,Panamá,Cayo Roldan,2013-08-19,10,1,127,Siderastrea siderea,5 to 10,5,4,95,100,0,0,NA,NA,NA
128,Panamá,Cayo Roldan,2013-08-19,10,1,128,Siderastrea siderea,5 to 10,7,6,20,100,80,0,NA,NA,NA
129,Panamá,Cayo Roldan,2013-08-19,10,1,129,Siderastrea siderea,10 to 20,18,7,100,100,0,0,NA,NA,NA
